"qseqid","qlen","sseqid","slen","qstart","qend","sstart","send","evalue","bitscore","score","length","pident","nident","mismatch","positive","gapopen","gaps","ppos","sstrand"
"AB292684.1",1638,"AH3Ma.chr7",66405468,1,1638,12500452,53903379,0,2953,1599,1638,99.206,1625,13,1625,0,0,99.21,"minus"
"AB292684.1",1638,"AH3Ma.chr7",66405468,1,1638,12469840,53933991,0,2953,1599,1638,99.206,1625,13,1625,0,0,99.21,"minus"
"AB292684.1",1638,"AH3Ma.chr7",66405468,1,1638,12408745,53995086,0,2920,1581,1638,98.84,1619,19,1619,0,0,98.84,"minus"
"AB292684.1",1638,"AH3Ma.chr7",66405468,1,1638,30961928,35445177,0,2915,1578,1638,98.779,1618,20,1618,0,0,98.78,"plus"
"AB292684.1",1638,"AH3Ma.chr7",66405468,1,1638,30779389,35627715,0,2902,1571,1638,98.657,1616,21,1616,1,1,98.66,"plus"
"AB292684.1",1638,"AH3Ma.chr7",66405468,1,1638,12582984,53820848,0,2902,1571,1638,98.657,1616,21,1616,1,1,98.66,"minus"
"AB292684.1",1638,"AH3Ma.chr7",66405468,1,1638,11762403,54641428,0,2305,1248,1638,92.063,1508,130,1508,0,0,92.06,"minus"
"AB292684.1",1638,"AH3Ma.chr7",66405468,1,1638,13455429,52948402,0,2261,1224,1638,91.575,1500,138,1500,0,0,91.58,"minus"
"AB292684.1",1638,"AH3Ma.chr7",66405468,1,1638,13367549,53036282,0,2255,1221,1638,91.514,1499,139,1499,0,0,91.51,"minus"
"AB292684.1",1638,"AH3Ma.chr7",66405468,1,1638,13306821,53097010,0,2255,1221,1638,91.514,1499,139,1499,0,0,91.51,"minus"
"AB292684.1",1638,"AH3Ma.chr7",66405468,1,1638,13194937,53208894,0,2255,1221,1638,91.514,1499,139,1499,0,0,91.51,"minus"
"AB292684.1",1638,"AH3Ma.chr7",66405468,1,1638,13258972,53144858,0,2244,1215,1639,91.397,1498,140,1498,1,1,91.4,"minus"
"AB292684.1",1638,"AH3Ma.chr7",66405468,1,1638,13074969,53328862,0,2233,1209,1638,91.27,1495,143,1495,0,0,91.27,"minus"
"AB292684.1",1638,"AH3Ma.chr7",66405468,1,1638,13018393,53385438,0,2228,1206,1638,91.209,1494,144,1494,0,0,91.21,"minus"
"AB292684.1",1638,"AH3Ma.chr7",66405468,9,1638,11189244,55217844,0,2104,1139,1630,90.061,1468,153,1468,2,9,90.06,"plus"
"AB212829.1",1635,"AH3Ma.chr7",66405468,1,1635,11762403,54641431,0,2992,1620,1635,99.694,1630,5,1630,0,0,99.69,"minus"
"AB212829.1",1635,"AH3Ma.chr7",66405468,1,1635,13455429,52948405,0,2654,1437,1635,95.963,1569,66,1569,0,0,95.96,"minus"
"AB212829.1",1635,"AH3Ma.chr7",66405468,1,1635,13367549,53036285,0,2649,1434,1635,95.902,1568,67,1568,0,0,95.9,"minus"
"AB212829.1",1635,"AH3Ma.chr7",66405468,1,1635,13306821,53097013,0,2649,1434,1635,95.902,1568,67,1568,0,0,95.9,"minus"
"AB212829.1",1635,"AH3Ma.chr7",66405468,1,1635,13194937,53208897,0,2649,1434,1635,95.902,1568,67,1568,0,0,95.9,"minus"
"AB212829.1",1635,"AH3Ma.chr7",66405468,1,1635,13258972,53144861,0,2638,1428,1636,95.782,1567,68,1567,1,1,95.78,"minus"
"AB212829.1",1635,"AH3Ma.chr7",66405468,1,1635,13074969,53328865,0,2627,1422,1635,95.657,1564,71,1564,0,0,95.66,"minus"
"AB212829.1",1635,"AH3Ma.chr7",66405468,1,1635,13018393,53385441,0,2627,1422,1635,95.657,1564,71,1564,0,0,95.66,"minus"
"AB212829.1",1635,"AH3Ma.chr7",66405468,1,1635,30861925,35545177,0,2327,1260,1635,92.355,1510,125,1510,0,0,92.35,"plus"
"AB212829.1",1635,"AH3Ma.chr7",66405468,1,1635,12500452,53903382,0,2327,1260,1635,92.355,1510,125,1510,0,0,92.35,"minus"
"AB212829.1",1635,"AH3Ma.chr7",66405468,1,1635,12469840,53933994,0,2311,1251,1635,92.171,1507,128,1507,0,0,92.17,"minus"
"AB212829.1",1635,"AH3Ma.chr7",66405468,1,1635,30892940,35514162,0,2305,1248,1635,92.11,1506,129,1506,0,0,92.11,"plus"
"AB212829.1",1635,"AH3Ma.chr7",66405468,1,1635,12408745,53995089,0,2300,1245,1635,92.049,1505,130,1505,0,0,92.05,"minus"
"AB212829.1",1635,"AH3Ma.chr7",66405468,1,1635,30961928,35445174,0,2294,1242,1635,91.988,1504,131,1504,0,0,91.99,"plus"
"AB212829.1",1635,"AH3Ma.chr7",66405468,9,1622,11189244,55217828,0,2274,1231,1615,92.198,1489,115,1489,4,11,92.2,"plus"
"AB212829.1",1635,"AH3Ma.chr7",66405468,1,1635,30779389,35627712,0,2270,1229,1635,91.743,1500,134,1500,1,1,91.74,"plus"
"AB212829.1",1635,"AH3Ma.chr7",66405468,1,1635,12582984,53820851,0,2270,1229,1635,91.743,1500,134,1500,1,1,91.74,"minus"
"AB212830.1",1635,"AH3Ma.chr7",66405468,1,1635,13455429,52948405,0,3003,1626,1635,99.817,1632,3,1632,0,0,99.82,"minus"
"AB212830.1",1635,"AH3Ma.chr7",66405468,1,1635,13367549,53036285,0,2998,1623,1635,99.755,1631,4,1631,0,0,99.76,"minus"
"AB212830.1",1635,"AH3Ma.chr7",66405468,1,1635,13306821,53097013,0,2998,1623,1635,99.755,1631,4,1631,0,0,99.76,"minus"
"AB212830.1",1635,"AH3Ma.chr7",66405468,1,1635,13194937,53208897,0,2998,1623,1635,99.755,1631,4,1631,0,0,99.76,"minus"
"AB212830.1",1635,"AH3Ma.chr7",66405468,1,1635,13258972,53144861,0,2987,1617,1636,99.633,1630,5,1630,1,1,99.63,"minus"
"AB212830.1",1635,"AH3Ma.chr7",66405468,1,1635,13074969,53328865,0,2976,1611,1635,99.511,1627,8,1627,0,0,99.51,"minus"
"AB212830.1",1635,"AH3Ma.chr7",66405468,1,1635,13018393,53385441,0,2970,1608,1635,99.45,1626,9,1626,0,0,99.45,"minus"
"AB212830.1",1635,"AH3Ma.chr7",66405468,1,1635,11762403,54641431,0,2676,1449,1635,96.208,1573,62,1573,0,0,96.21,"minus"
"AB212830.1",1635,"AH3Ma.chr7",66405468,9,1622,11189244,55217828,0,2313,1252,1615,92.632,1496,108,1496,4,11,92.63,"plus"
"AB212830.1",1635,"AH3Ma.chr7",66405468,1,1635,30861925,35545177,0,2278,1233,1635,91.804,1501,134,1501,0,0,91.8,"plus"
"AB212830.1",1635,"AH3Ma.chr7",66405468,1,1635,12500452,53903382,0,2278,1233,1635,91.804,1501,134,1501,0,0,91.8,"minus"
"AB212830.1",1635,"AH3Ma.chr7",66405468,1,1635,12469840,53933994,0,2266,1227,1635,91.682,1499,136,1499,0,0,91.68,"minus"
"AB212830.1",1635,"AH3Ma.chr7",66405468,1,1635,30892940,35514162,0,2261,1224,1635,91.621,1498,137,1498,0,0,91.62,"plus"
"AB212830.1",1635,"AH3Ma.chr7",66405468,1,1635,12408745,53995089,0,2255,1221,1635,91.56,1497,138,1497,0,0,91.56,"minus"
"AB212830.1",1635,"AH3Ma.chr7",66405468,1,1635,30961928,35445174,0,2250,1218,1635,91.498,1496,139,1496,0,0,91.5,"plus"
"AB212830.1",1635,"AH3Ma.chr7",66405468,1,1635,30779389,35627712,0,2226,1205,1635,91.254,1492,142,1492,1,1,91.25,"plus"
"AB212830.1",1635,"AH3Ma.chr7",66405468,1,1635,12582984,53820851,0,2226,1205,1635,91.254,1492,142,1492,1,1,91.25,"minus"
"LY658671.1",1639,"AH3Mb.chr7",66501341,4,1639,29838766,36664210,0,3016,1633,1636,99.939,1635,1,1635,0,0,99.94,"plus"
"LY658671.1",1639,"AH3Mb.chr7",66501341,4,1639,30300554,36202422,0,3005,1627,1636,99.817,1633,3,1633,0,0,99.82,"plus"
"LY658671.1",1639,"AH3Mb.chr7",66501341,4,1639,29950174,36552802,0,3005,1627,1636,99.817,1633,3,1633,0,0,99.82,"plus"
"LY658671.1",1639,"AH3Mb.chr7",66501341,4,1639,29889869,36613107,0,3005,1627,1636,99.817,1633,3,1633,0,0,99.82,"plus"
"LY658671.1",1639,"AH3Mb.chr7",66501341,4,1639,30224927,36278049,0,3000,1624,1636,99.756,1632,4,1632,0,0,99.76,"plus"
"LY658671.1",1639,"AH3Mb.chr7",66501341,4,1639,30166678,36336298,0,3000,1624,1636,99.756,1632,4,1632,0,0,99.76,"plus"
"LY658671.1",1639,"AH3Mb.chr7",66501341,4,1639,30051883,36451093,0,2994,1621,1636,99.694,1631,5,1631,0,0,99.69,"plus"
"LY658671.1",1639,"AH3Mb.chr7",66501341,4,1639,29988202,36514775,0,2988,1618,1637,99.633,1631,5,1631,1,1,99.63,"plus"
"LY658671.1",1639,"AH3Mb.chr7",66501341,4,1639,11746661,54753045,0,2645,1432,1636,95.844,1568,68,1568,0,0,95.84,"minus"
"LY658671.1",1639,"AH3Mb.chr7",66501341,13,1639,11059402,55443565,0,2385,1291,1628,93.12,1516,110,1516,2,2,93.12,"plus"
"LY658671.1",1639,"AH3Mb.chr7",66501341,4,1639,12281423,54218283,0,2274,1231,1636,91.748,1501,135,1501,0,0,91.75,"minus"
"LY658671.1",1639,"AH3Mb.chr7",66501341,4,1639,12266681,54233025,0,2257,1222,1636,91.565,1498,138,1498,0,0,91.56,"minus"
"LY658671.1",1639,"AH3Mb.chr7",66501341,5,1634,12404326,54098641,0,2187,1184,1631,90.926,1483,143,1483,5,5,90.93,"plus"
"AB292682.1",1635,"AH3Mb.chr7",66501341,1,1635,11577019,54925954,0,2525,1367,1638,94.567,1549,81,1549,3,8,94.57,"plus"
"AB292682.1",1635,"AH3Mb.chr7",66501341,1,1632,11623647,54879323,0,2497,1352,1635,94.312,1542,85,1542,4,8,94.31,"plus"
"AB292682.1",1635,"AH3Mb.chr7",66501341,95,1635,11466362,55036518,0,2423,1312,1544,95.078,1468,69,1468,2,7,95.08,"plus"
"AB292682.1",1635,"AH3Mb.chr7",66501341,1,1635,12281424,54218280,0,2130,1153,1638,90.171,1477,158,1477,2,3,90.17,"minus"
"AB292682.1",1635,"AH3Mb.chr7",66501341,1,1635,12266682,54233022,0,2119,1147,1638,90.049,1475,160,1475,2,3,90.05,"minus"
"AB292683.1",1638,"AH3Mb.chr7",66501341,1,1638,12281424,54218280,0,2981,1614,1638,99.512,1630,8,1630,0,0,99.51,"minus"
"AB292683.1",1638,"AH3Mb.chr7",66501341,1,1638,12266682,54233022,0,2948,1596,1638,99.145,1624,14,1624,0,0,99.15,"minus"
"AB292683.1",1638,"AH3Mb.chr7",66501341,1,1638,11746662,54753042,0,2338,1266,1638,92.43,1514,124,1514,0,0,92.43,"minus"
"AB292683.1",1638,"AH3Mb.chr7",66501341,1,1638,29950173,36552805,0,2305,1248,1638,92.063,1508,130,1508,0,0,92.06,"plus"
"AB292683.1",1638,"AH3Mb.chr7",66501341,1,1638,29838765,36664213,0,2305,1248,1638,92.063,1508,130,1508,0,0,92.06,"plus"
"AB292683.1",1638,"AH3Mb.chr7",66501341,1,1638,29889868,36613110,0,2300,1245,1638,92.002,1507,131,1507,0,0,92,"plus"
"AB292683.1",1638,"AH3Mb.chr7",66501341,1,1638,30300553,36202425,0,2294,1242,1638,91.941,1506,132,1506,0,0,91.94,"plus"
"AB292683.1",1638,"AH3Mb.chr7",66501341,1,1638,30224926,36278052,0,2289,1239,1638,91.88,1505,133,1505,0,0,91.88,"plus"
"AB292683.1",1638,"AH3Mb.chr7",66501341,1,1638,30166677,36336301,0,2289,1239,1638,91.88,1505,133,1505,0,0,91.88,"plus"
"AB292683.1",1638,"AH3Mb.chr7",66501341,1,1638,30051882,36451096,0,2289,1239,1638,91.88,1505,133,1505,0,0,91.88,"plus"
"AB292683.1",1638,"AH3Mb.chr7",66501341,1,1638,29988201,36514778,0,2278,1233,1639,91.763,1504,134,1504,1,1,91.76,"plus"
"AB292683.1",1638,"AH3Mb.chr7",66501341,9,1638,11059402,55443568,0,2185,1183,1630,90.859,1481,149,1481,0,0,90.86,"plus"
"AB292684.1",1638,"AH3Mb.chr7",66501341,1,1638,12281424,54218280,0,2948,1596,1638,99.145,1624,14,1624,0,0,99.15,"minus"
"AB292684.1",1638,"AH3Mb.chr7",66501341,1,1638,12266682,54233022,0,2915,1578,1638,98.779,1618,20,1618,0,0,98.78,"minus"
"AB292684.1",1638,"AH3Mb.chr7",66501341,1,1638,11746662,54753042,0,2294,1242,1638,91.941,1506,132,1506,0,0,91.94,"minus"
"AB292684.1",1638,"AH3Mb.chr7",66501341,1,1638,29950173,36552805,0,2261,1224,1638,91.575,1500,138,1500,0,0,91.58,"plus"
"AB292684.1",1638,"AH3Mb.chr7",66501341,1,1638,29838765,36664213,0,2261,1224,1638,91.575,1500,138,1500,0,0,91.58,"plus"
"AB292684.1",1638,"AH3Mb.chr7",66501341,1,1638,30166677,36336301,0,2255,1221,1638,91.514,1499,139,1499,0,0,91.51,"plus"
"AB292684.1",1638,"AH3Mb.chr7",66501341,1,1638,29889868,36613110,0,2255,1221,1638,91.514,1499,139,1499,0,0,91.51,"plus"
"AB292684.1",1638,"AH3Mb.chr7",66501341,1,1638,30300553,36202425,0,2250,1218,1638,91.453,1498,140,1498,0,0,91.45,"plus"
"AB292684.1",1638,"AH3Mb.chr7",66501341,1,1638,30224926,36278052,0,2244,1215,1638,91.392,1497,141,1497,0,0,91.39,"plus"
"AB292684.1",1638,"AH3Mb.chr7",66501341,1,1638,30051882,36451096,0,2244,1215,1638,91.392,1497,141,1497,0,0,91.39,"plus"
"AB292684.1",1638,"AH3Mb.chr7",66501341,1,1638,29988201,36514778,0,2233,1209,1639,91.275,1496,142,1496,1,1,91.28,"plus"
"AB292684.1",1638,"AH3Mb.chr7",66501341,9,1638,11059402,55443568,0,2141,1159,1630,90.368,1473,157,1473,0,0,90.37,"plus"
"AB212829.1",1635,"AH3Mb.chr7",66501341,1,1635,11746662,54753045,0,3014,1632,1635,99.939,1634,1,1634,0,0,99.94,"minus"
"AB212829.1",1635,"AH3Mb.chr7",66501341,1,1635,29838765,36664210,0,2654,1437,1635,95.963,1569,66,1569,0,0,95.96,"plus"
"AB212829.1",1635,"AH3Mb.chr7",66501341,1,1635,30300553,36202422,0,2643,1431,1635,95.841,1567,68,1567,0,0,95.84,"plus"
"AB212829.1",1635,"AH3Mb.chr7",66501341,1,1635,29950173,36552802,0,2643,1431,1635,95.841,1567,68,1567,0,0,95.84,"plus"
"AB212829.1",1635,"AH3Mb.chr7",66501341,1,1635,29889868,36613107,0,2643,1431,1635,95.841,1567,68,1567,0,0,95.84,"plus"
"AB212829.1",1635,"AH3Mb.chr7",66501341,1,1635,30224926,36278049,0,2638,1428,1635,95.78,1566,69,1566,0,0,95.78,"plus"
"AB212829.1",1635,"AH3Mb.chr7",66501341,1,1635,30166677,36336298,0,2638,1428,1635,95.78,1566,69,1566,0,0,95.78,"plus"
"AB212829.1",1635,"AH3Mb.chr7",66501341,1,1635,30051882,36451093,0,2638,1428,1635,95.78,1566,69,1566,0,0,95.78,"plus"
"AB212829.1",1635,"AH3Mb.chr7",66501341,1,1635,29988201,36514775,0,2627,1422,1636,95.66,1565,70,1565,1,1,95.66,"plus"
"AB212829.1",1635,"AH3Mb.chr7",66501341,9,1627,11059402,55443557,0,2331,1262,1619,92.65,1500,119,1500,0,0,92.65,"plus"
"AB212829.1",1635,"AH3Mb.chr7",66501341,1,1635,12281424,54218283,0,2305,1248,1635,92.11,1506,129,1506,0,0,92.11,"minus"
"AB212829.1",1635,"AH3Mb.chr7",66501341,1,1635,12266682,54233025,0,2289,1239,1635,91.927,1503,132,1503,0,0,91.93,"minus"
"AB212829.1",1635,"AH3Mb.chr7",66501341,1,1627,12404326,54098638,0,2215,1199,1628,91.278,1486,137,1486,5,5,91.28,"plus"
"AB212830.1",1635,"AH3Mb.chr7",66501341,1,1635,29838765,36664210,0,3003,1626,1635,99.817,1632,3,1632,0,0,99.82,"plus"
"AB212830.1",1635,"AH3Mb.chr7",66501341,1,1635,30300553,36202422,0,2992,1620,1635,99.694,1630,5,1630,0,0,99.69,"plus"
"AB212830.1",1635,"AH3Mb.chr7",66501341,1,1635,29950173,36552802,0,2992,1620,1635,99.694,1630,5,1630,0,0,99.69,"plus"
"AB212830.1",1635,"AH3Mb.chr7",66501341,1,1635,29889868,36613107,0,2992,1620,1635,99.694,1630,5,1630,0,0,99.69,"plus"
"AB212830.1",1635,"AH3Mb.chr7",66501341,1,1635,30224926,36278049,0,2987,1617,1635,99.633,1629,6,1629,0,0,99.63,"plus"
"AB212830.1",1635,"AH3Mb.chr7",66501341,1,1635,30166677,36336298,0,2987,1617,1635,99.633,1629,6,1629,0,0,99.63,"plus"
"AB212830.1",1635,"AH3Mb.chr7",66501341,1,1635,30051882,36451093,0,2981,1614,1635,99.572,1628,7,1628,0,0,99.57,"plus"
"AB212830.1",1635,"AH3Mb.chr7",66501341,1,1635,29988201,36514775,0,2976,1611,1636,99.511,1628,7,1628,1,1,99.51,"plus"
"AB212830.1",1635,"AH3Mb.chr7",66501341,1,1635,11746662,54753045,0,2665,1443,1635,96.086,1571,64,1571,0,0,96.09,"minus"
"AB212830.1",1635,"AH3Mb.chr7",66501341,9,1627,11059402,55443557,0,2375,1286,1620,93.148,1509,109,1509,2,2,93.15,"plus"
"AB212830.1",1635,"AH3Mb.chr7",66501341,1,1635,12281424,54218283,0,2261,1224,1635,91.621,1498,137,1498,0,0,91.62,"minus"
"AB212830.1",1635,"AH3Mb.chr7",66501341,1,1635,12266682,54233025,0,2244,1215,1635,91.437,1495,140,1495,0,0,91.44,"minus"
"AB212830.1",1635,"AH3Mb.chr7",66501341,1,1627,12404326,54098638,0,2187,1184,1628,90.971,1481,142,1481,5,5,90.97,"plus"
"LY658671.1",1639,"BCMa.chr7",65474844,4,1639,29018617,29016982,0,3011,1630,1636,99.878,1634,2,1634,0,0,99.88,"minus"
"LY658671.1",1639,"BCMa.chr7",65474844,4,1639,29171397,29169762,0,3011,1630,1636,99.878,1634,2,1634,0,0,99.88,"minus"
"LY658671.1",1639,"BCMa.chr7",65474844,4,1639,29324106,29322471,0,3011,1630,1636,99.878,1634,2,1634,0,0,99.88,"minus"
"LY658671.1",1639,"BCMa.chr7",65474844,4,1639,28841682,28840047,0,3005,1627,1636,99.817,1633,3,1633,0,0,99.82,"minus"
"LY658671.1",1639,"BCMa.chr7",65474844,4,1639,28903513,28901878,0,3005,1627,1636,99.817,1633,3,1633,0,0,99.82,"minus"
"LY658671.1",1639,"BCMa.chr7",65474844,4,1639,29093333,29091698,0,3005,1627,1636,99.817,1633,3,1633,0,0,99.82,"minus"
"LY658671.1",1639,"BCMa.chr7",65474844,4,1639,29347863,29346228,0,3005,1627,1636,99.817,1633,3,1633,0,0,99.82,"minus"
"LY658671.1",1639,"BCMa.chr7",65474844,4,1639,29265156,29263521,0,2994,1621,1636,99.694,1631,5,1631,0,0,99.69,"minus"
"LY658671.1",1639,"BCMa.chr7",65474844,4,1639,29399602,29397969,0,2992,1620,1636,99.694,1631,3,1631,2,2,99.69,"minus"
"LY658671.1",1639,"BCMa.chr7",65474844,4,1639,10661819,10663454,0,2285,1237,1636,91.87,1503,133,1503,0,0,91.87,"plus"
"LY658671.1",1639,"BCMa.chr7",65474844,4,1639,10755683,10757318,0,2285,1237,1636,91.87,1503,133,1503,0,0,91.87,"plus"
"LY658671.1",1639,"BCMa.chr7",65474844,4,1639,10795275,10796910,0,2279,1234,1636,91.809,1502,134,1502,0,0,91.81,"plus"
"LY658671.1",1639,"BCMa.chr7",65474844,4,1639,10864001,10865636,0,2274,1231,1636,91.748,1501,135,1501,0,0,91.75,"plus"
"LY658671.1",1639,"BCMa.chr7",65474844,4,1639,10725269,10726904,0,2224,1204,1636,91.198,1492,144,1492,0,0,91.2,"plus"
"AB292682.1",1635,"BCMa.chr7",65474844,1,1635,10001400,9999766,0,3020,1635,1635,100,1635,0,1635,0,0,100,"minus"
"AB292682.1",1635,"BCMa.chr7",65474844,1,1635,10661820,10663457,0,2141,1159,1638,90.293,1479,156,1479,2,3,90.29,"plus"
"AB292682.1",1635,"BCMa.chr7",65474844,1,1635,10864002,10865639,0,2135,1156,1638,90.232,1478,157,1478,2,3,90.23,"plus"
"AB292682.1",1635,"BCMa.chr7",65474844,1,1635,10755684,10757321,0,2130,1153,1638,90.171,1477,158,1477,2,3,90.17,"plus"
"AB292682.1",1635,"BCMa.chr7",65474844,1,1635,10795276,10796913,0,2130,1153,1638,90.171,1477,158,1477,2,3,90.17,"plus"
"AB292683.1",1638,"BCMa.chr7",65474844,1,1638,10755684,10757321,0,3003,1626,1638,99.756,1634,4,1634,0,0,99.76,"plus"
"AB292683.1",1638,"BCMa.chr7",65474844,1,1638,10795276,10796913,0,2992,1620,1638,99.634,1632,6,1632,0,0,99.63,"plus"
"AB292683.1",1638,"BCMa.chr7",65474844,1,1638,10864002,10865639,0,2987,1617,1638,99.573,1631,7,1631,0,0,99.57,"plus"
"AB292683.1",1638,"BCMa.chr7",65474844,1,1638,10661820,10663457,0,2981,1614,1638,99.512,1630,8,1630,0,0,99.51,"plus"
